"Family","Rep","Chr8:9719736","ADAR","IFI44","IRF2","IRF8","MDA5","STING","Viperin"
29.001,1,"0",0.0014,5e-04,0.0035,0.0037,0.0021,0.003,0.0023
29.001,2,"0",0.001,0.0012,0.0142,0.0039,0.0028,0.008,0.0059
29.001,3,"0",0.0011,3e-04,0.0024,0.0016,0.0013,0.0032,7e-04
29.001,4,"0",0.0014,8e-04,0.0114,0.0021,0.0021,0.0054,0.0023
29.001,5,"1",0.0013,6e-04,0.0142,0.0027,0.0023,0.0067,0.0071
29.001,6,"1",0.001,0.0012,0.0091,0.0033,0.0015,0.0037,0.0015
29.001,7,"0",0.0011,0.0012,0.0087,0.0044,0.0029,0.005,0.0019
29.001,8,"1",0.001,6e-04,0.0133,0.0042,0.0022,0.0062,0.0043
29.003,1,"1",0.001,9e-04,0.0093,0.0023,0.0013,0.0072,0.0031
29.003,2,"1",0.0017,0.0033,0.0212,0.0029,0.0033,0.01,0.0071
29.003,3,"1",0.0013,0.0021,0.0121,0.0045,0.0024,0.008,0.0068
29.003,4,"1",0.0011,0.0012,0.0097,0.0025,0.0015,0.0057,0.0042
29.003,5,"1",0.001,0.0011,0.0089,0.0036,0.0021,0.0063,0.0038
29.004,1,"1",0.0018,5e-04,0.0098,0.0044,0.0028,0.0056,0.006
29.004,2,"0",0.001,0,0.0098,0.0074,0.0027,0.0099,0.0047
29.004,3,"1",0.0013,0.0011,0.0078,0.0023,0.0025,0.0078,0.0032
29.004,4,"1",0.0012,1e-04,0.0103,0.0026,0.0023,0.0047,0.0048
29.004,5,"1",0.0014,9e-04,0.0073,0.0039,0.0018,0.0091,0.0044
29.004,6,"1",0.0012,5e-04,0.0126,0.003,0.0019,0.0035,0.0062
29.004,7,"1",0.0015,4e-04,0.0091,0.0018,0.002,0.0047,0.0054
29.004,8,"2",0.0017,2e-04,0.0315,0.004,0.0026,0.0085,0.0094
29.006,1,"0",0.0012,6e-04,0.0028,0.0043,0.0019,0.0061,0.0029
29.006,2,"0",8e-04,0.0011,0.0027,0.0052,0.0025,0.0053,0.0045
29.006,3,"0",8e-04,5e-04,0.0023,0.0034,0.0011,0.0083,0.002
29.006,4,"0",0.0013,1e-04,0.0083,0.0058,0.0023,0.0039,0.006
29.006,5,"0",9e-04,5e-04,0.0058,0.0046,0.0017,0.0038,0.0021
29.006,6,"0",0.0018,6e-04,0.0065,0.0052,0.0029,0.0074,0.0074
29.006,7,"0",7e-04,5e-04,0.0056,0.0037,0.0017,0.0032,0.0038
29.009,1,"0",7e-04,0.0012,0.0015,0.004,8e-04,0.0067,0.0021
29.009,2,"0",0.001,0.0013,0.0016,0.0018,0.0013,0.0032,0.0014
29.009,3,"0",0.0011,3e-04,7e-04,0.0019,0.0012,0.0039,0.001
29.009,4,"0",0.001,4e-04,0.0011,0.0025,0.0015,0.0033,0.0031
29.009,5,"0",0.001,7e-04,0.0011,0.0027,9e-04,0.0032,0.0026
29.009,6,"0",0.0011,5e-04,0.001,0.0024,9e-04,0.0019,0.0019
29.01,1,"0",8e-04,3e-04,0.0035,0.0022,0.0013,0.0042,2e-04
29.01,2,"0",8e-04,7e-04,0.0014,0.0024,7e-04,0.0037,0.002
